Some of the top 250 bug closers from 2005:

# closed  Bugzilla User
  2329    Sebastien Bacher              
  1183    Matthias Clasen               
  1093    Olav Vitters                  
  1092    Andre Klapper                 
   939    Kjartan Maraas                
   703    Bastien Nocera                
   648    Ronald Bultje                 
   636    sven@gimp.org                 
   619    Vincent Untz                  
   595    Christian Kirbach             
   575    Teppo Turtiainen              
   527    Not Zed                       
   490    chpe                          
   481    Christian - Manny Calavera - Neumair
   457    Vincent Noel                  
   378    Dimitri van Heesch            
   332    chenthill                     
   328    James Livingston              
   315    Nickolay V. Shmyrev           
   310    Sushma Rai                    
   305    Gerardo Marin                 
   297    JP Rosevear                   
   297    Martin Wehner                 
   284    Daniel Veillard               
   272    fejj                          
   270    Marco Pesenti Gritti          
   266    Callum McKenzie               
   263    Owen Taylor                   
   259    William Jon McCann            
   251    Brian Cameron                 
   248    Morten Welinder               
   233    Jody Goldberg                 
   226    Richard Hoelscher             
   224    Davyd                         
   211    Johan Dahlin                  
   199    Jeffrey Stedfast              
   196    weskaggs@primate.ucdavis.edu  
   195    Joe Shaw                      
   189    parthasarathi susarla         
   188    Ross Burton                   
   182    Mark McLoughlin               
   177    Paolo Bacchilega              
   177    Murray Cumming                
   175    David SedeÃ±o FernÃ¡ndez      
   173    paolo borelli                 
   172    Crispin Flowerday             
   171    Brent Smith (smitten)         
   170    Tor Lillqvist                 
   163    Richard Hult                  
   160    Ryan Lortie (desrt)           
   157    BenoÃ®t Dejean                
   154    bill.haneman@sun.com          
   152    Larry Ewing                   
   151    Hans Breuer                   
   150    Tim-Philipp MÃ¼ller           
   147    Michael Schumacher            
   147    Vidar Hauge                   
   141    Manish Singh                  
   140    Christian Kellner             
   139    Rodney Dawes                  
   133    Michael Natterer              
   132    Poornima                      
   131    Aaron Bockover                
   128    Gustavo Carneiro              
   123    vivek  jain                   
   123    Paolo Maggi                   
   116    Alexander Larsson             
   114    Carlos Garnacho Parro         
   110    Lars Clausen                  
   108    Mikael Hallendal              
   108    Federico Mena Quintero        
   108    Rodrigo Moya                  
   107    Ismael Juma                   
   104    Martyn Russell                
   104    Nagappan                      
   101    Christian Stimming            
   100    David Trowbridge              
    99    Bryan W Clark                 
    97    Baptiste Mille-Mathias        
    95    Stephen Kennedy               
    94    C Shilpa                      
    93    Sivaiah                       
    92    Jon Trowbridge                
    92    Luis Villa                    
    92    Behdad Esfahbod               
    91    James Henstridge              
    90    Lorenzo Gil Sanchez           
    90    Andy Wingo                    
    90    Rich Burridge                 
    88    Lucas Rocha                   
    86    Nate Nielsen                  
    85    dennis_cranston@yahoo.com     
    84    Christophe Fergeau            
    83    Dom Lachowicz                 
    81    viren                         
    81    Daniel Drake                  
    80    Damien Sandras                
    75    Sankar P                      
    74    Luca Ognibene                 
    73    Veerapuram Varadhan           
    72    Sarfraaz Ahmed                
    69    Harry Lu                      
    69    Harish Krishnaswamy           
    68    Thomas Wood                   
    67    Daniel Veillard               
    66    Kaushal Kumar                 
    65    Damon Chaplin                 
    64    Alex Graveley                 
    62    Raphael Slinckx               
    62    remus draica                  
    61    Christian Schaller            
    60    Srinivasa Ragavan             
    58    Reinout van Schouwen          
    56    Shaun McCance                 
    54    Radek Doulik                  
    54    Jorn Baayen                   
    53    Michele Baldessari            
    53    Phil Cowans                   
    53    Gabriel Burt                  
    53    Naba Kumar                    
    51    Tristan Van Berkom            
    50    Sergey V. Udaltsov            
    50    RaphaÃ«l Quinet               
    49    Martin Kretzschmar            
    49    Kristian Rietveld             
    49    Todd Kulesza                  
    48    Emmanuel Pacaud               
    47    Dan Winship                   
    46    Stephane Wirtel               
    46    Emmanuele Bassi               
    44    John Finlay                   
    43    Jonathan Blandford            
    42    David Schleef                 
    42    Yanko Kaneti                  
    41    MichaÃ«l Arnauts              
    41    mengjie yu                    
    40    Philip Van Hoof               
    40    Christian Meyer               
    39    David Hampton                 
    39    Fredrik Hedberg               
    39    Karsten BrÃ¤ckelmann          
    39    William M. Brack              
    38    Shreyas Srinivasan            
    37    Khasim Shaheed                
    37    Don Scorgie                   
    36    Dan Williams                  
    35    Lukas Lipka                   
    35    Adam Schreiber                
    35    Carlos Morgado                
    35    David Richards                
    34    Andreas J. Guelzow            
    34    Thomas Vander Stichele        
    33    Jon-Kare Hellan               
    33    Guillaume Desmottes           
    32    Jakub Steiner                 
    32    Oana Serb                     
    32    Michael Smith                 
    32    Fernando Herrera              
    31    Robert Love                   
    31    Jens Finke                    
    30    Mattias Karlsson              
    30    Gaute Hope                    
    29    Edward Hervey                 
    29    Jeroen Zwartepoorte           
    29    Tim Gerla                     
    29    Peter Bloomfield              
    29    Lionel Dricot                 
    28    Sven Herzberg                 
    28    Michael Meeks                 
    27    Olivier Crete                 
    27    Subodh Soni                   
    27    Jan Alonzo                    
    26    nagashree                     
    26    sigge@hystrix.se              
    26    Quim Gil                      
    26    Olivier Le Thanh Duong        
    26    Caleb Moore                   
    25    Jeffrey Morgan                
    25    Alex Duggan                   
    24    Christoffer Olsen             
    24    plors                         
    24    Chakravarthi                  
    24    ABDUL RAUF                    
    23    kbuchcik@4commerce.de         
    23    Debajyoti Bera                
    23    Christophe Lambin             
    23    dodji seketeli                
    22    David Bolter                  
    22    Gman                          
    22    jhs@cvs.gnome.org             
    22    Madhan Raj M                  
    22    Stepan Kasal                  
    22    Danilo Segan                  
    22    Javier F. Serrador            
    21    spark                         
    21    Richard Hughes                
    21    Pawel Salek                   
    21    James Bowes                   
    21    LoÃ¯c Minier                  
    21    Simon Budig                   
    21    Derek Atkins                  
    20    Frank Arnold                  
    20    Claudio Saavedra              
    20    Guilherme de S. Pastore       
    20    Kristof Vansant               
    19    Tiago Cogumbreiro             
    19    Jim Hayward                   
    19    Willie Walker                 
    19    Calum Benson                  
    19    Zack Cerza                    
    18    Jernej SimonÄiÄ             
    18    Abel Cheung                   
    18    Bob Kashani                   
    18    Brian Masney                  
    18    Alan Horkan                   
    17    Maciej Katafiasz              
    17    Hendrik Richter               
    17    Stefan Kost                   
    16    SÃ¸ren Sandmann               
    16    Paul Drain                    
    16    Nigel Tao                     
    16    Diego GonzÃ¡lez               
    16    Jaap A. Haitsma               
    16    James M. Cape                 
    15    Hans Petter Jansson           
    15    Andrew Sobala                 
    15    Adam Jocksch                  
    15    Farzaneh Sarafraz             
    15    Nat Friedman                  
    14    Kevin McBride                 
    14    Evan Sheehan                  
    14    Stephane LOEUILLET            
    14    Frederic Crozat               
    14    Glenn J. Mason                
    14    Thierry Moisan                
    14    Arunprakash                   
    14    skadz@stigmata.org            
    14    Bryan Forbes                  
    14    Martin Grimme                 
    13    malerba@gnome-db.org          
    12    Carlos Garcia Campos          
