The top 100 patch submitters from 2006

# submitted  Bugzilla User
   298       Christian Persch (IRC: chpe)  
   173       James "Doc" Livingston        
   170       Charles Kerr                  
   147       William Jon McCann            
   144       Elijah Newren                 
   143       Jonathan Matthew              
   142       Rich Burridge                 
   121       Kjartan Maraas                
   117       Willie Walker                 
   117       Matthias Clasen               
   117       Tim-Philipp Müller           
   106       paolo borelli                 
    97       Christian Neumair             
    88       Matthew Barnes                
    82       Sushma Rai                    
    81       Jens Granseuer                
    77       Stephane Delcroix             
    73       Brian Cameron                 
    73       Behdad Esfahbod               
    73       Bastien Nocera                
    71       Xavier Claessens              
    71       Wouter Bolsterlee (uws)       
    67       chenthill                     
    63       Przemysław Grzegorczyk       
    62       Sebastien Bacher              
    58       Yevgen Muntyan                
    56       Brian Pepple                  
    55       Frederic Peters               
    54       Loïc Minier                  
    52       Kevin Kubasik                 
    52       Chris Wilson                  
    51       Diego Escalante Urrelo (dieguito)
    51       Dennis Cranston               
    50       Steve Frécinaux              
    48       Ed Catmur                     
    47       bill.haneman@sun.com          
    47       Ross Burton                   
    47       Devashish Sharma              
    46       Edward Hervey                 
    46       ushveen kaur                  
    46       Carlos Garnacho               
    45       Srinivasa Ragavan             
    45       Wim Taymans                   
    45       Richard Hughes                
    45       Li Yuan                       
    44       Alex Lancaster                
    44       Leonardo Ferreira Fontenelle  
    44       Stefan Kost (gstreamer, gtkdoc dev)
    44       Ruben Vermeersch              
    43       Ray Strode                    
    42       Vincent Untz                  
    42       Luca Ferretti                 
    41       Hiroyuki Ikezoe               
    41       Felix Riemann                 
    40       Thomas Thurman                
    39       Brent Smith (smitten)         
    39       Mariano Suárez-Alvarez       
    39       Sebastian Dröge              
    39       Damien Carbery                
    39       Björn Lindqvist              
    38       Mark Nauwelaerts              
    38       Bengt Thuree                  
    38       Andre Klapper                 
    36       Nagappan                      
    34       Jan Schmidt                   
    33       Claudio Saavedra              
    33       Priit Laes                    
    33       Julio M. Merino Vidal         
    32       Gustavo Carneiro              
    32       Mattias Karlsson              
    31       Jesse van den Kieboom         
    31       Benjamin Otte (Company)       
    31       Xiurong Simon Zheng           
    31       Gabor Kelemen                 
    31       Cygwin Ports maintainer       
    31       Joe Marcus Clarke             
    30       Federico Mena Quintero        
    30       Karsten Bräckelmann          
    30       Carlos Eduardo Rodrigues Diogenes
    29       Don Scorgie                   
    29       Thomas Andersen               
    28       Murray Cumming                
    28       Adam Schreiber                
    28       Luca Cavalli                  
    27       Andreas Köhler               
    27       Christian Kirbach             
    27       Boying Lu                     
    27       Dan Winship                   
    27       Jan Arne Petersen             
    27       Sven Neumann                  
    26       Kristian Rietveld             
    26       Ryan Lortie (desrt)           
    26       Michael Smith                 
    26       Michael Natterer              
    26       Eitan Isaacson                
    26       Pascal Terjan                 
    26       LingNing Zhang                
    25       Rob Staudinger                
    25       Oana Serb                     
    25       Irene Huang                   
